0,0.074,0.229
0.02,0.074,0.229
0.04,0.074,0.229
0.06,0.074,0.229
0.08,0.074,0.229
0.1,0.074,0.229
0.12,0.074,0.229
0.14,0.074,0.229
0.16,0.074,0.229
0.18,0.074,0.229
0.2,0.074,0.229
0.22,0.074,0.229
0.24,0.074,0.229
0.26,0.074,0.229
0.28,0.074,0.229
0.3,0.074,0.229
0.32,0.074,0.229
0.34,0.074,0.229
0.36,0.074,0.229
0.38,0.074,0.229
0.4,0.074,0.229
0.42,0.074,0.229
0.44,0.074,0.229
0.46,0.074,0.229
0.48,0.074,0.229
0.5,0.074,0.229
0.52,0.074,0.229
0.54,0.074,0.229
0.56,0.074,0.229
0.58,0.074,0.229
0.6,0.074,0.229
0.62,0.074,0.229
0.64,0.074,0.229
0.66,0.074,0.229
0.68,0.074,0.229
0.7,0.074,0.229
0.72,0.074,0.229
0.74,0.074,0.229
0.76,0.074,0.229
0.78,0.074,0.229
0.8,0.074,0.229
0.82,0.074,0.229
0.84,0.074,0.229
0.86,0.074,0.229
0.88,0.074,0.229
0.9,0.074,0.229
0.92,0.074,0.229
0.94,0.074,0.229
0.96,0.074,0.229
0.98,0.074,0.229
1,0.074,0.229
1.02,0.074,0.229
1.04,0.074,0.229
1.06,0.074,0.229
1.08,0.074,0.229
1.1,0.074,0.229
1.12,0.074,0.229
1.14,0.074,0.229
1.16,0.074,0.229
1.18,0.074,0.229
1.2,0.074,0.229
1.22,0.074,0.229
1.24,0.074,0.229
1.26,0.074,0.229
1.28,0.074,0.229
1.3,0.074,0.229
1.32,0.074,0.229
1.34,0.074,0.229
1.36,0.074,0.229
1.38,0.074,0.229
1.4,0.074,0.229
1.42,0.074,0.229
1.44,0.074,0.229
1.46,0.074,0.229
1.48,0.074,0.229
1.5,0.074,0.229
1.52,0.074,0.229
1.54,0.074,0.229
1.56,0.074,0.229
1.58,0.074,0.229
1.6,0.074,0.229
1.62,0.074,0.229
1.64,0.074,0.229
1.66,0.074,0.229
1.68,0.074,0.229
1.7,0.074,0.229
1.72,0.074,0.229
1.74,0.074,0.229
1.76,0.074,0.229
1.78,0.074,0.229
1.8,0.074,0.229
1.82,0.074,0.229
1.84,0.074,0.229
1.86,0.074,0.229
1.88,0.074,0.229
1.9,0.074,0.229
1.92,0.074,0.229
1.94,0.074,0.229
1.96,0.074,0.229
1.98,0.074,0.229
2,0.074,0.229
2.02,0.074,0.229
2.04,0.074,0.229
2.06,0.074,0.229
2.08,0.074,0.229
2.1,0.074,0.229
2.12,0.074,0.229
2.14,0.074,0.229
2.16,0.074,0.229
2.18,0.074,0.229
2.2,0.074,0.229
2.22,0.074,0.229
2.24,0.074,0.229
2.26,0.074,0.229
2.28,0.074,0.229
2.3,0.074,0.229
2.32,0.074,0.229
2.34,0.074,0.229
2.36,0.074,0.229
2.38,0.074,0.229
2.4,0.074,0.229
2.42,0.074,0.229
2.44,0.074,0.229
2.46,0.074,0.229
2.48,0.074,0.229
2.5,0.074,0.229
2.52,0.074,0.229
2.54,0.074,0.229
2.56,0.074,0.229
2.58,0.074,0.229
2.6,0.074,0.229
2.62,0.074,0.229
2.64,0.074,0.229
2.66,0.074,0.229
